Id;Email;Intereses
42;javier.gil+ejercicio42@nateevo.com;Getafe
43;javier.gil+ejercicio43@nateevo.com;Cádiz
44;javier.gil+ejercicio44@nateevo.com;Almería
45;javier.gil+ejercicio45@nateevo.com;Real Sociedad
46;javier.gil+ejercicio46@nateevo.com;Celta de Vigo
47;javier.gil+ejercicio47@nateevo.com;Real Sociedad
48;javier.gil+ejercicio48@nateevo.com;Almería
49;javier.gil+ejercicio49@nateevo.com;Cádiz
50;javier.gil+ejercicio50@nateevo.com;Osasuna
51;javier.gil+ejercicio51@nateevo.com;FC Barcelona
52;javier.gil+ejercicio52@nateevo.com;Real Mallorca
53;javier.gil+ejercicio53@nateevo.com;
54;javier.gil+ejercicio54@nateevo.com;Athletic Club
55;javier.gil+ejercicio55@nateevo.com;Rayo Vallecano
56;javier.gil+ejercicio56@nateevo.com;Real Mallorca
57;javier.gil+ejercicio57@nateevo.com;FC Barcelona
58;javier.gil+ejercicio58@nateevo.com;Athletic Club
59;javier.gil+ejercicio59@nateevo.com;Villarreal
60;javier.gil+ejercicio60@nateevo.com;Girona
61;javier.gil+ejercicio61@nateevo.com;Real Mallorca
62;javier.gil+ejercicio62@nateevo.com;Villarreal
63;javier.gil+ejercicio63@nateevo.com;FC Barcelona
64;javier.gil+ejercicio64@nateevo.com;Athletic Club
65;javier.gil+ejercicio65@nateevo.com;Cádiz
66;javier.gil+ejercicio66@nateevo.com;Real Betis
67;javier.gil+ejercicio67@nateevo.com;Granada
68;javier.gil+ejercicio68@nateevo.com;Deportivo Alavés
69;javier.gil+ejercicio69@nateevo.com;Villarreal
70;javier.gil+ejercicio70@nateevo.com;Almería
71;javier.gil+ejercicio71@nateevo.com;
72;javier.gil+ejercicio72@nateevo.com;Getafe
73;javier.gil+ejercicio73@nateevo.com;Granada
74;javier.gil+ejercicio74@nateevo.com;Deportivo Alavés
75;javier.gil+ejercicio75@nateevo.com;Villarreal
76;javier.gil+ejercicio76@nateevo.com;Deportivo Alavés
77;javier.gil+ejercicio77@nateevo.com;Real Mallorca
78;javier.gil+ejercicio78@nateevo.com;Deportivo Alavés
79;javier.gil+ejercicio79@nateevo.com;Cádiz
80;javier.gil+ejercicio80@nateevo.com;Real Sociedad
81;javier.gil+ejercicio81@nateevo.com;Granada
82;javier.gil+ejercicio82@nateevo.com;Athletic Club
83;javier.gil+ejercicio83@nateevo.com;
84;javier.gil+ejercicio84@nateevo.com;Villarreal
85;javier.gil+ejercicio85@nateevo.com;Atlético de Madrid
86;javier.gil+ejercicio86@nateevo.com;Athletic Club
87;javier.gil+ejercicio87@nateevo.com;Celta de Vigo
88;javier.gil+ejercicio88@nateevo.com;Celta de Vigo
89;javier.gil+ejercicio89@nateevo.com;Real Sociedad
90;javier.gil+ejercicio90@nateevo.com;Granada
91;javier.gil+ejercicio91@nateevo.com;Las Palmas
92;javier.gil+ejercicio92@nateevo.com;Atlético de Madrid
93;javier.gil+ejercicio93@nateevo.com;Valencia
94;javier.gil+ejercicio94@nateevo.com;Cádiz
95;javier.gil+ejercicio95@nateevo.com;Athletic Club
96;javier.gil+ejercicio96@nateevo.com;Villarreal
97;javier.gil+ejercicio97@nateevo.com;Celta de Vigo
98;javier.gil+ejercicio98@nateevo.com;Las Palmas
99;javier.gil+ejercicio99@nateevo.com;
100;javier.gil+ejercicio100@nateevo.com;Athletic Club
101;javier.gil+ejercicio101@nateevo.com;Osasuna
102;javier.gil+ejercicio102@nateevo.com;Rayo Vallecano
103;javier.gil+ejercicio103@nateevo.com;Deportivo Alavés
104;javier.gil+ejercicio104@nateevo.com;Las Palmas
105;javier.gil+ejercicio105@nateevo.com;Rayo Vallecano
106;javier.gil+ejercicio106@nateevo.com;Girona
107;javier.gil+ejercicio107@nateevo.com;Athletic Club
108;javier.gil+ejercicio108@nateevo.com;Getafe
109;javier.gil+ejercicio109@nateevo.com;Real Mallorca
110;javier.gil+ejercicio110@nateevo.com;Atlético de Madrid
111;javier.gil+ejercicio111@nateevo.com;FC Barcelona
112;javier.gil+ejercicio112@nateevo.com;Real Betis
113;javier.gil+ejercicio113@nateevo.com;Las Palmas
114;javier.gil+ejercicio114@nateevo.com;Osasuna
115;javier.gil+ejercicio115@nateevo.com;Rayo Vallecano
116;javier.gil+ejercicio116@nateevo.com;Girona
117;javier.gil+ejercicio117@nateevo.com;Real Mallorca
118;javier.gil+ejercicio118@nateevo.com;Rayo Vallecano
119;javier.gil+ejercicio119@nateevo.com;Real Betis
120;javier.gil+ejercicio120@nateevo.com;Las Palmas
121;javier.gil+ejercicio121@nateevo.com;Deportivo Alavés
122;javier.gil+ejercicio122@nateevo.com;Real Madrid
123;javier.gil+ejercicio123@nateevo.com;Real Madrid
124;javier.gil+ejercicio124@nateevo.com;Girona
125;javier.gil+ejercicio125@nateevo.com;FC Barcelona
126;javier.gil+ejercicio126@nateevo.com;Cádiz
127;javier.gil+ejercicio127@nateevo.com;Las Palmas
128;javier.gil+ejercicio128@nateevo.com;Sevilla
129;javier.gil+ejercicio129@nateevo.com;Almería
130;javier.gil+ejercicio130@nateevo.com;FC Barcelona
131;javier.gil+ejercicio131@nateevo.com;Atlético de Madrid
132;javier.gil+ejercicio132@nateevo.com;Athletic Club
133;javier.gil+ejercicio133@nateevo.com;Villarreal
134;javier.gil+ejercicio134@nateevo.com;Celta de Vigo
135;javier.gil+ejercicio135@nateevo.com;Valencia
136;javier.gil+ejercicio136@nateevo.com;Granada
137;javier.gil+ejercicio137@nateevo.com;Granada
138;javier.gil+ejercicio138@nateevo.com;Cádiz
139;javier.gil+ejercicio139@nateevo.com;Osasuna
140;javier.gil+ejercicio140@nateevo.com;Cádiz
141;javier.gil+ejercicio141@nateevo.com;Las Palmas
142;javier.gil+ejercicio142@nateevo.com;Getafe
143;javier.gil+ejercicio143@nateevo.com;Osasuna
144;javier.gil+ejercicio144@nateevo.com;Getafe
145;javier.gil+ejercicio145@nateevo.com;Osasuna
146;javier.gil+ejercicio146@nateevo.com;Celta de Vigo
147;javier.gil+ejercicio147@nateevo.com;Osasuna
148;javier.gil+ejercicio148@nateevo.com;Granada
149;javier.gil+ejercicio149@nateevo.com;Athletic Club
150;javier.gil+ejercicio150@nateevo.com;Valencia
151;javier.gil+ejercicio151@nateevo.com;Athletic Club
152;javier.gil+ejercicio152@nateevo.com;Cádiz
153;javier.gil+ejercicio153@nateevo.com;Deportivo Alavés
154;javier.gil+ejercicio154@nateevo.com;Real Mallorca
155;javier.gil+ejercicio155@nateevo.com;
156;javier.gil+ejercicio156@nateevo.com;Valencia
157;javier.gil+ejercicio157@nateevo.com;Deportivo Alavés
158;javier.gil+ejercicio158@nateevo.com;Almería
159;javier.gil+ejercicio159@nateevo.com;Getafe
160;javier.gil+ejercicio160@nateevo.com;FC Barcelona
161;javier.gil+ejercicio161@nateevo.com;FC Barcelona
162;javier.gil+ejercicio162@nateevo.com;Real Sociedad
163;javier.gil+ejercicio163@nateevo.com;Athletic Club
164;javier.gil+ejercicio164@nateevo.com;Villarreal
165;javier.gil+ejercicio165@nateevo.com;Sevilla
166;javier.gil+ejercicio166@nateevo.com;Athletic Club
167;javier.gil+ejercicio167@nateevo.com;Athletic Club
168;javier.gil+ejercicio168@nateevo.com;Sevilla
169;javier.gil+ejercicio169@nateevo.com;Girona
170;javier.gil+ejercicio170@nateevo.com;Valencia
171;javier.gil+ejercicio171@nateevo.com;Sevilla
172;javier.gil+ejercicio172@nateevo.com;Rayo Vallecano
173;javier.gil+ejercicio173@nateevo.com;Valencia
174;javier.gil+ejercicio174@nateevo.com;Las Palmas
175;javier.gil+ejercicio175@nateevo.com;Almería
176;javier.gil+ejercicio176@nateevo.com;Celta de Vigo
177;javier.gil+ejercicio177@nateevo.com;FC Barcelona
178;javier.gil+ejercicio178@nateevo.com;Real Sociedad
179;javier.gil+ejercicio179@nateevo.com;Granada
180;javier.gil+ejercicio180@nateevo.com;Villarreal
181;javier.gil+ejercicio181@nateevo.com;Deportivo Alavés
182;javier.gil+ejercicio182@nateevo.com;Las Palmas
183;javier.gil+ejercicio183@nateevo.com;Real Mallorca
184;javier.gil+ejercicio184@nateevo.com;Almería
185;javier.gil+ejercicio185@nateevo.com;FC Barcelona
186;javier.gil+ejercicio186@nateevo.com;Girona
187;javier.gil+ejercicio187@nateevo.com;Las Palmas
188;javier.gil+ejercicio188@nateevo.com;Las Palmas
189;javier.gil+ejercicio189@nateevo.com;Las Palmas
190;javier.gil+ejercicio190@nateevo.com;Osasuna
191;javier.gil+ejercicio191@nateevo.com;Rayo Vallecano
192;javier.gil+ejercicio192@nateevo.com;FC Barcelona
193;javier.gil+ejercicio193@nateevo.com;Las Palmas
194;javier.gil+ejercicio194@nateevo.com;Real Betis
195;javier.gil+ejercicio195@nateevo.com;Villarreal
196;javier.gil+ejercicio196@nateevo.com;Cádiz
197;javier.gil+ejercicio197@nateevo.com;Villarreal
198;javier.gil+ejercicio198@nateevo.com;Las Palmas
199;javier.gil+ejercicio199@nateevo.com;Deportivo Alavés
